ticker,bid,ask,last,open,high,low,volume
2128,-1,-1,3.75,3.85,3.85,3.71,3660880
2268,-1,-1,2.01,2.03,2.05,1.97,8323840
119,-1,-1,2.44,2.41,2.45,2.38,2532000
1765,-1,-1,0.79,0.82,0.85,0.79,8339668
1781,-1,-1,1.17,1.18,1.18,1.11,1974000
1308,-1,-1,7,6.83,7.01,6.8,935240
1157,-1,-1,2.73,2.72,2.74,2.7,1833600
272,-1,-1,1.67,1.71,1.72,1.66,5453015
548,-1,-1,8.44,8.53,8.53,8.38,1590690
574,-1,-1,0.52,0.53,0.53,0.51,11064000
2801,-1,-1,21.6,21.75,21.75,21.55,16200
173,-1,-1,3.7,3.71,3.75,3.68,870770
2727,-1,-1,2.47,2.49,2.51,2.43,4784000
3306,-1,-1,10,10.36,10.36,9.87,394300
54,-1,-1,34.15,34.25,34.3,34.05,1898522
3958,-1,-1,4.8,4.79,5.08,4.78,955600
1458,-1,-1,3.37,3.39,3.43,3.29,2053500
1894,-1,-1,1.5,1.62,1.64,1.48,1560000
1778,-1,-1,3.94,4.03,4.03,3.9,1218000
1883,-1,-1,2.74,2.71,2.76,2.68,3695000
7331,-1,-1,11.22,11.18,11.28,11.12,1683100
1970,-1,-1,19.8,19.52,20.1,19.5,38300
87,-1,-1,12.6,12.68,12.68,12.5,496309
486,-1,-1,2.54,2.53,2.54,2.46,6424000
8611,-1,-1,0.37,0.37,0.38,0.36,945000
1573,-1,-1,10.7,10.44,10.7,10.26,738000
3331,-1,-1,12.86,12.3,13.1,12.12,48000
1257,-1,-1,5.4,5.53,5.58,5.4,404000
743,-1,-1,4.89,5.37,5.38,4.89,1111500
8526,-1,-1,0.95,0.85,0.99,0.84,14410000
6088,-1,-1,3.41,3.33,3.43,3.28,3300518
2362,-1,-1,0.62,0.62,0.62,0.6,4781000
215,-1,-1,2.93,2.94,2.94,2.91,2163552
1809,-1,-1,5.6,5.64,5.65,5.58,321500
3053,-1,-1,,1006.7,,,
991,-1,-1,1.81,1.84,1.85,1.8,4052000
6066,-1,-1,4.36,4.33,4.48,4.33,2158500
956,-1,-1,1.9,1.94,1.99,1.9,3420000
1269,-1,-1,4.23,4.34,4.35,4.19,2134000
698,-1,-1,0.78,0.76,0.78,0.75,7800000
308,-1,-1,2.08,2.06,2.09,2.04,5884016
1368,-1,-1,4.25,4.22,4.28,4.13,725000
142,-1,-1,3.05,3.05,3.06,3.01,2916601
973,-1,-1,14.5,14.68,14.68,14.36,165037
1166,-1,-1,0.079,0.076,0.085,0.076,4320950
1727,-1,-1,3.85,3.94,3.94,3.8,738000
410,-1,-1,2.64,2.67,2.69,2.6,4213000
1426,-1,-1,3.36,3.38,3.42,3.34,2643000
3998,-1,-1,1.37,1.37,1.4,1.36,12497704
1668,-1,-1,1.09,1.08,1.1,1.07,5138000
1337,-1,-1,1.08,1.06,1.08,1.03,9686000
8609,,,0.265,0.265,0.265,0.265,20000
1131,-1,-1,1.27,1.29,1.29,1.24,1760000
6068,-1,-1,2.72,2.79,2.82,2.71,1056000
3613,-1,-1,11.78,12.14,12.14,11.76,348999
606,-1,-1,2.65,2.72,2.76,2.64,4848000
1478,-1,-1,4.12,4.17,4.29,4.06,2194000
336,-1,-1,3.16,3.33,3.33,3.13,2365668
3633,-1,-1,6.44,6.65,6.72,6.27,1760000
81,-1,-1,2.51,2.47,2.52,2.46,1020000
1672,-1,-1,6,6.3,6.3,5.93,426300
1528,-1,-1,6.71,6.66,6.88,6.67,3008376
2611,-1,-1,15.74,15.9,15.9,15.54,341200
59,-1,-1,1.27,1.27,1.29,1.23,5340000
6860,-1,-1,1.68,1.69,1.71,1.66,2510000
7228,-1,-1,5.61,5.62,5.66,5.54,159000
1251,-1,-1,0.44,0.45,0.455,0.435,4464000
6830,-1,-1,1.29,1.28,1.3,1.27,9036000
525,-1,-1,2.94,2.92,2.95,2.92,1080000
440,-1,-1,37.3,37.4,37.9,37.15,276198
687,-1,-1,2.38,2.4,2.41,2.37,1420000
6099,-1,-1,9.88,10,10.2,9.8,227800
3738,-1,-1,4.21,4.29,4.29,4.17,1839000
1741,-1,-1,1.46,1.3,1.49,1.29,1288000
1089,-1,-1,2.15,2.17,2.17,2.09,1155000
120,-1,-1,1.45,1.52,1.52,1.44,604000
1079,-1,-1,0.315,0.325,0.325,0.305,7236000
3396,-1,-1,20.45,19.72,21,19.5,637831
1618,-1,-1,1.86,1.88,1.9,1.85,2490000
1333,-1,-1,3.43,3.4,3.49,3.36,1916800
2866,-1,-1,0.78,0.79,0.8,0.77,9276500
8210,-1,-1,0.59,0.64,0.7,0.55,26580000
2280,-1,-1,4.13,4.25,4.28,4.11,625000
496,-1,-1,3.27,3.41,3.45,3.23,2081000
7312,-1,-1,5.11,5.12,5.14,5.08,159400
2006,-1,-1,1.83,1.86,1.87,1.82,1092000
1238,-1,-1,3.05,3.03,3.08,3.01,820000
2858,-1,-1,1.74,1.74,1.77,1.72,1708500
512,-1,-1,3.3,3.44,3.56,3.27,1616000
2662,-1,-1,8.92,8.88,8.93,8.76,362000
754,-1,-1,6.25,6.3,6.42,6.15,696000
1681,-1,-1,4.44,4.19,4.51,4.19,2162000
6858,-1,-1,8.95,8.92,9,8.9,864000
639,-1,-1,1.56,1.53,1.56,1.53,1233178
341,-1,-1,19.08,19.04,19.14,18.92,922000
1731,-1,-1,1.1,1,1.1,1,132000
1302,-1,-1,1.47,1.49,1.49,1.39,4159785
2868,-1,-1,2.77,2.76,2.79,2.74,2006000
950,-1,-1,5.46,5.52,5.65,5.41,279000
342,-1,-1,2.55,2.56,2.56,2.5,460000
1585,-1,-1,2.89,2.88,2.95,2.86,1192000
